v1_chunk_id,v2_chunk_ids,mapping_status,policy_source,policy_action,document_id,page_number_1_based
07ed772656d8ffecf51cc2a85dc26157a287a586f835f134f2d52eb7d1086369,07ed772656d8ffecf51cc2a85dc26157a287a586f835f134f2d52eb7d1086369,UNCHANGED_RETAINED,AUTOMATED_FULL_CORPUS_AUDIT,AUTO_QUALITY_PASS,10WnmAa4MX1Zjggd7E5iFX16YrOSWplEW,1
3bff6925cccebe873909c03ed6e90a24a059a3096c3316f8313ff224c7b23748,3bff6925cccebe873909c03ed6e90a24a059a3096c3316f8313ff224c7b23748,UNCHANGED_RETAINED,AUTOMATED_FULL_CORPUS_AUDIT,AUTO_QUALITY_PASS,10WnmAa4MX1Zjggd7E5iFX16YrOSWplEW,1
0c306aa08c6a81306427703436098343311ebc8fb69f5e01ff3bbdd6b1843b8e,,HUMAN_CONFIRMATION_QUARANTINE,HUMAN_REVIEW_FINAL,HUMAN_CONFIRMATION_REQUIRED,10WnmAa4MX1Zjggd7E5iFX16YrOSWplEW,1
bb2b4e7c694a81348112bdc1437e832a11b87899bf11c6ff562f36fce13e7f91,bb2b4e7c694a81348112bdc1437e832a11b87899bf11c6ff562f36fce13e7f91,UNCHANGED_RETAINED,HUMAN_REVIEW_FINAL,KEEP_RETRIEVAL_AND_DISPLAY,118qz5uyLtGsBdKcmxjWJk_9C4Hm4zkIc,1
313c553d5eb9aa107d003135069c15a26a4b07fdc7164df69e752d88e3f3072e,,HUMAN_CONFIRMATION_QUARANTINE,HUMAN_REVIEW_FINAL,HUMAN_CONFIRMATION_REQUIRED,118qz5uyLtGsBdKcmxjWJk_9C4Hm4zkIc,1
9b6ec923b86561d0a27ee2447475559c91867c9b340672706b0e56c2f6843e06,067687fc4cc6be5e5e4f03c96f3fba0ced596125dd04f7fdfc631f6f6883cbec,REPLACED,TARGETED_PAGE_REPAIR,REPLACED_BY_REPAIRED_PAGE,12Z0Rux2KvL9GX-cQYHXvru8g1nF4MsC2,1
466da991a78e7bdc32da3cd5c3f5be7ff8c99f0383dea9e4f6bdf564fb9c7413,067687fc4cc6be5e5e4f03c96f3fba0ced596125dd04f7fdfc631f6f6883cbec,REPLACED,TARGETED_PAGE_REPAIR,REPLACED_BY_REPAIRED_PAGE,12Z0Rux2KvL9GX-cQYHXvru8g1nF4MsC2,1
e90840891dfc1668242d2cc47a6206e02c8d467a0e400129c28bc929930c178f,e90840891dfc1668242d2cc47a6206e02c8d467a0e400129c28bc929930c178f,UNCHANGED_RETAINED,AUTOMATED_FULL_CORPUS_AUDIT,AUTO_QUALITY_PASS,12xBl7SAd34OSBG2Amc627Oh3MVCxTZhX,1
bc828b36d9d8496b324f14d3dad1297a969792125386cf8beabc457eecbe3bfe,bc828b36d9d8496b324f14d3dad1297a969792125386cf8beabc457eecbe3bfe,UNCHANGED_RETAINED,AUTOMATED_FULL_CORPUS_AUDIT,AUTO_QUALITY_PASS,12xBl7SAd34OSBG2Amc627Oh3MVCxTZhX,1
3331131bc1d0a72b0cc085894d8973c07753bfb8591cc509d50b21a7f41e0d89,3331131bc1d0a72b0cc085894d8973c07753bfb8591cc509d50b21a7f41e0d89,UNCHANGED_RETAINED,AUTOMATED_FULL_CORPUS_AUDIT,AUTO_QUALITY_PASS,12xBl7SAd34OSBG2Amc627Oh3MVCxTZhX,1
