query_id,candidate_id,reference_id,serving_rank,bm25_score,dense_cosine,hybrid_rrf,query_term_coverage,source_document,source_page,relevance_judgment
TECH-EN-001,TECH-EN-001-C19,c9a8ed8cbd88c6709bb8ae0ee1cca7845d518212b63606399b924db80b6f30bc,9,0.0,0.799366,0.00686536,0.0,attestation-de-reference-enda-cash.pdf,1,
TECH-EN-001,TECH-EN-001-C20,dd1d9c2b79452203612f7c767ba3f73f769ca79a2449c7ba678b4906948a964a,11,0.0,0.791006,0.00585853,0.0,Contrat PCA Tunisie Leasing 2016.pdf,1,
TECH-AR-001,TECH-AR-001-C01,943b5ea4f9206b399b32f7a06e2d5f7ead6ca2a4c850ee964f032f46efc68348,8,0.0,0.801111,0.00622301,0.0,SMT Monetique Tunisie PCA 2016 (1).pdf,1,
TECH-AR-001,TECH-AR-001-C02,95abaf3e9e68fe399991e6feb166817adc7a1bd96424a0390809865cff492b25,18,0.0,0.786713,0.0031826,0.0,Attestation de PCA STAR 2016 .pdf,1,
TECH-AR-001,TECH-AR-001-C03,62a9d1226bbe6d3c4560efcd092bc0be86715b0586de4a0a419707e9476041e1,17,0.0,0.790089,0.00337315,0.0,Cadrage PCA COMAR 2020 (1).pdf,1,
TECH-AR-001,TECH-AR-001-C04,41a486681db7706b7fb1ff65aa6ec0bae9cd3365ce9d2dd4201de7fee6aba0cd,9,0.0,0.801784,0.00605042,0.0,Contrat Al Baraka PCA (1).pdf,1,
TECH-AR-001,TECH-AR-001-C05,579dd1becd99c7e5d89ee248efcb68db42cd1d747496ac19d868d77010698ec2,16,0.0,0.791513,0.00370825,0.0,Attestation de PCA OMMP 2019.pdf,1,
TECH-AR-001,TECH-AR-001-C06,b3bdfbb8c906aa73c8fdcb26ad008ca3a34c37d470abe0be016776fefd9b2a90,4,0.0,0.810764,0.00830026,0.0,Contrat BH PCA 2017.pdf,1,
TECH-AR-001,TECH-AR-001-C07,c9a8ed8cbd88c6709bb8ae0ee1cca7845d518212b63606399b924db80b6f30bc,15,0.0,0.794904,0.00449427,0.0,attestation-de-reference-enda-cash.pdf,1,
TECH-AR-001,TECH-AR-001-C08,54b110427999b6eebe2f45331c0f98f70c2f5085e0d81e6fac012c72d3ca4278,19,0.0,0.788941,0.00305996,0.0,Attestation de PCA TRADEX.pdf,1,
TECH-AR-001,TECH-AR-001-C09,de2039c469393234a54e9902733b9c7d93092802cc6391084944b6db5fe714ba,2,0.0,0.813054,0.00844532,0.0,BNA_Attestation de Référence_Accompagnement PCA.pdf,1,
TECH-AR-001,TECH-AR-001-C10,c19775419dd239ec4529d57f0240c026cc4c79ee72487570f9f0e6fae36d5aa2,3,0.0,0.807101,0.00831848,0.0,Contrat PCA STB 2017.pdf,2,
TECH-AR-001,TECH-AR-001-C11,dd1d9c2b79452203612f7c767ba3f73f769ca79a2449c7ba678b4906948a964a,7,0.0,0.799352,0.00673844,0.0,Contrat PCA Tunisie Leasing 2016.pdf,1,
TECH-AR-001,TECH-AR-001-C12,58004b365d3d74391a9c60eff7f70bd82d589718a355a1260e333611d19f8f7c,20,0.0,0.789734,0.00284247,0.0,Attestation de référence MITIGAN. PCA.pdf,1,
